userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language
2c56ba97d19e32cc4ab9d04b81f8e09aa29ed92d2954fa2e308109b380fc9b58,2c56ba97d19e32cc4ab9d04b81f8e09aa29ed92d2954fa2e308109b380fc9b58,2c56ba97d19e32cc4ab9d04b81f8e09aa29ed92d2954fa2e308109b380fc9b58,Вологда,студент,,123,202,2013-12-30,ru
b0e80cecd7b382c84944560ad275f0ae8137fac2a47d35212025c5acee270408,b0e80cecd7b382c84944560ad275f0ae8137fac2a47d35212025c5acee270408,b0e80cecd7b382c84944560ad275f0ae8137fac2a47d35212025c5acee270408,,,,624,535,2014-09-02,en
c35dd5de58d3eab90a1f901f4225a202a5554d4e88fbca76e0f97b9ae2f6c99f,c35dd5de58d3eab90a1f901f4225a202a5554d4e88fbca76e0f97b9ae2f6c99f,c35dd5de58d3eab90a1f901f4225a202a5554d4e88fbca76e0f97b9ae2f6c99f,"New York, NY","Creator, Composer, Artist & just a bit of a God. All in one. All OG.",,134,652,2015-05-30,en
50e174391fcce873913b27b70e4419e6eebdf705dcc8883efd50a068fcc2c175,50e174391fcce873913b27b70e4419e6eebdf705dcc8883efd50a068fcc2c175,50e174391fcce873913b27b70e4419e6eebdf705dcc8883efd50a068fcc2c175,,,,59,163,2016-07-22,en
e51288e14116820146dfcdda9c475041ac0b35e3dc9bbcbbe2d445280eebc387,e51288e14116820146dfcdda9c475041ac0b35e3dc9bbcbbe2d445280eebc387,e51288e14116820146dfcdda9c475041ac0b35e3dc9bbcbbe2d445280eebc387,"Сестрорецк, Россия",Люблю свой малый город,,175,454,2014-06-09,ru
d99f356ad3b6a0fa4d1ed6b62c54261adecc6f8534b8d3af36f1e9f8c0a5fa1c,d99f356ad3b6a0fa4d1ed6b62c54261adecc6f8534b8d3af36f1e9f8c0a5fa1c,d99f356ad3b6a0fa4d1ed6b62c54261adecc6f8534b8d3af36f1e9f8c0a5fa1c,US,Never give up on someone you can't go a day without thinking about,,160,224,2013-06-18,en
c0839dd43190c2e81eb8fd1db2c878e90d780cfbb94a7a229fa1bee041d5fb02,c0839dd43190c2e81eb8fd1db2c878e90d780cfbb94a7a229fa1bee041d5fb02,c0839dd43190c2e81eb8fd1db2c878e90d780cfbb94a7a229fa1bee041d5fb02,Нижний Новогород,Всем добра и ретвиттов,,137,909,2014-03-24,ru
423106b1e5eaa83a8640447d439573271a1a74c632148628ff19c1ca8341e500,423106b1e5eaa83a8640447d439573271a1a74c632148628ff19c1ca8341e500,423106b1e5eaa83a8640447d439573271a1a74c632148628ff19c1ca8341e500,United States,,,44,253,2014-05-25,en
f7705a1cf18e7dff0237f16f667f1863960c98be35116622cd278b52ad3c00a6,f7705a1cf18e7dff0237f16f667f1863960c98be35116622cd278b52ad3c00a6,f7705a1cf18e7dff0237f16f667f1863960c98be35116622cd278b52ad3c00a6,,План действий на сегодня: 1. Проебать день 2. Лечь спать,,120,118,2014-06-19,ru
19a9d5009d948b6844f818b521ce279de27106fafa36a10d6e9736fb92e2524b,19a9d5009d948b6844f818b521ce279de27106fafa36a10d6e9736fb92e2524b,19a9d5009d948b6844f818b521ce279de27106fafa36a10d6e9736fb92e2524b,mother America,retired Barack Obama,,55,65,2014-05-29,en
